,Make,Model,Style,Fuel_type,Transmission
5773,Dacia,Duster,Sedan,Petrol,0
5774,Ford,C-Max,Universal,Plug-in Hybrid,1
5775,Volkswagen,Passat,Sedan,Petrol,0
5776,Opel,Astra,Minivan,Diesel,0
5777,Skoda,Superb,Sedan,Petrol,0
5778,Opel,Astra,Universal,Diesel,0
5779,Ford,Fusion,Sedan,Petrol,1
5780,Renault,Grand Scenic,Universal,Diesel,0
5781,Opel,Vectra,Hatchback,Metan/Propan,0
5782,Dacia,Rare,Hatchback,Diesel,0
5783,Hyundai,ix35,SUV,Diesel,1
5784,Mazda,Rare,Sedan,Petrol,1
5785,Mercedes,E Class,Sedan,Metan/Propan,0
5786,Nissan,X-Trail,Crossover,Diesel,0
5787,Volkswagen,Polo,Hatchback,Diesel,0
5788,Opel,Astra,Hatchback,Petrol,0
5789,BMW,7 Series,Sedan,Petrol,1
5790,Nissan,Qashqai,Crossover,Diesel,0
5791,Hyundai,Sonata,Sedan,Petrol,1
5792,Skoda,Rare,Minivan,Diesel,0
5793,BMW,Rare,Crossover,Petrol,1
5794,Citroen,Berlingo,Minivan,Diesel,0
5795,Lexus,RX Series,Crossover,Hybrid,1
5796,Volkswagen,Golf,Hatchback,Petrol,0
5797,Hyundai,Rare,Universal,Diesel,1
5798,Volvo,Rare,Sedan,Petrol,1
5799,Land Rover,Rare,SUV,Diesel,1
5800,Mitsubishi,Rare,Hatchback,Petrol,1
5801,Mercedes,Series (W124),Sedan,Metan/Propan,0
5802,Toyota,Matrix,Hatchback,Petrol,0
5803,Land Rover,Rare,SUV,Diesel,0
5804,Opel,Meriva,Universal,Diesel,0
5805,Opel,Astra,Universal,Diesel,0
5806,Renault,Grand Scenic,Universal,Diesel,0
5807,Toyota,Avensis,Universal,Diesel,0
5808,Toyota,Rare,Coupe,Metan/Propan,0
5809,Peugeot,Rare,Minivan,Diesel,0
5810,Dacia,Sandero,Hatchback,Petrol,0
5811,BMW,3 Series,Sedan,Petrol,1
5812,Opel,Vectra,Sedan,Petrol,0
5813,Vaz,2106,Sedan,Petrol,0
5814,Opel,Astra,Universal,Diesel,0
5815,Renault,Grand Scenic,Minivan,Diesel,1
5816,Dacia,Logan Mcv,Universal,Metan/Propan,0
5817,Volvo,Rare,Universal,Metan/Propan,0
5818,BMW,3 Series,Universal,Diesel,1
5819,Volkswagen,Passat,Sedan,Petrol,0
5820,Dacia,Logan Mcv,Universal,Diesel,1
5821,Audi,A6,Universal,Metan/Propan,1
5822,Vaz,Rare,Sedan,Petrol,0
5823,Honda,Accord,Sedan,Diesel,0
5824,BMW,7 Series,Sedan,Diesel,1
5825,Audi,A4,Sedan,Petrol,1
5826,Mercedes,E Class,Sedan,Diesel,1
5827,Skoda,Fabia,Universal,Diesel,0
5828,Audi,Q5,Crossover,Hybrid,1
5829,KIA,Optima,Sedan,Metan/Propan,1
5830,Lexus,RX Series,Crossover,Hybrid,1
5831,Toyota,Auris,Hatchback,Diesel,0
5832,Mercedes,E Class,Universal,Diesel,1
5833,Land Rover,Range Rover,SUV,Diesel,1
5834,Toyota,Prius,Hatchback,Hybrid,1
5835,Audi,A6,Universal,Petrol,0
5836,Mitsubishi,Rare,Hatchback,Petrol,0
5837,Volkswagen,Touran,Universal,Diesel,0
5838,Dacia,Rare,Hatchback,Petrol,0
5839,Toyota,Corolla,Sedan,Petrol,0
5840,Volkswagen,Passat,Universal,Diesel,1
5841,Renault,Megane,Hatchback,Diesel,0
5842,Skoda,Superb,Sedan,Petrol,0
5843,Dacia,Duster,Crossover,Diesel,0
5844,Opel,Zafira,Universal,Metan/Propan,0
5845,Mercedes,GLK Class,Crossover,Diesel,1
5846,Volkswagen,Golf,Universal,Petrol,0
5847,BMW,X3,SUV,Diesel,1
5848,Chevrolet,Aveo,Hatchback,Petrol,0
5849,Mazda,6,Sedan,Petrol,0
5850,Mercedes,E Class,Universal,Metan/Propan,0
5851,Mercedes,A Class,Hatchback,Petrol,1
5852,Lexus,NX Series,Crossover,Hybrid,1
5853,Lexus,Rare,SUV,Petrol,1
5854,Opel,Astra,Universal,Metan/Propan,0
5855,Lexus,RX Series,Crossover,Hybrid,1
5856,Mazda,6,Sedan,Petrol,1
5857,Hyundai,Santa FE,Crossover,Petrol,1
5858,Mazda,Rare,Crossover,Diesel,1
5859,Lexus,NX Series,Crossover,Hybrid,1
5860,Lexus,NX Series,Crossover,Petrol,1
5861,Lincoln,Rare,Sedan,Hybrid,1
5862,Lexus,RX Series,Crossover,Hybrid,1
5863,Renault,Kadjar,Universal,Diesel,1
5864,Audi,A4,Sedan,Petrol,1
5865,BMW,X5,Crossover,Plug-in Hybrid,1
5866,Lexus,NX Series,Crossover,Hybrid,1
5867,Lexus,RX Series,Universal,Hybrid,1
5868,Lincoln,Rare,Sedan,Hybrid,1
5869,Porsche,Cayenne,Crossover,Hybrid,1
5870,Mercedes,Vito,Microvan,Diesel,0
5871,Lexus,NX Series,Crossover,Hybrid,1
5872,Nissan,Juke,Crossover,Petrol,1
5873,Lexus,RX Series,Crossover,Hybrid,1
5874,Skoda,Superb,Sedan,Diesel,1
5875,Lincoln,Rare,Sedan,Hybrid,1
5876,Mazda,626,Sedan,Metan/Propan,1
5877,Lincoln,Rare,Sedan,Hybrid,1
5878,Mitsubishi,Outlander,SUV,Petrol,1
5879,Toyota,Land Cruiser,SUV,Diesel,1
5880,Mercedes,Rare,Sedan,Petrol,1
5881,BMW,7 Series,Sedan,Diesel,1
5882,Mini,Rare,Coupe,Petrol,0
5883,Mercedes,C Class,Sedan,Hybrid,1
5884,Skoda,Octavia,Sedan,Petrol,1
5885,Mercedes,C Class,Universal,Petrol,1
5886,Audi,Q5,Crossover,Diesel,1
5887,Mercedes,B Class,Hatchback,Petrol,1
5888,Skoda,Fabia,Hatchback,Diesel,1
5889,Toyota,Prius,Hatchback,Hybrid,1
5890,Ford,Mondeo,Sedan,Petrol,0
5891,Skoda,Superb,Sedan,Petrol,0
5892,Honda,CR-V,Crossover,Diesel,1
5893,Mercedes,C Class,Sedan,Petrol,0
5894,BMW,7 Series,Sedan,Diesel,1
5895,Volvo,Rare,Sedan,Petrol,1
5896,Audi,A6,Sedan,Metan/Propan,0
5897,Mercedes,C Class,Sedan,Diesel,0
5898,Mercedes,B Class,Universal,Diesel,1
5899,Audi,Rare,Hatchback,Metan/Propan,1
5900,BMW,Rare,Crossover,Petrol,1
5901,Hyundai,ix35,Crossover,Metan/Propan,1
5902,Mercedes,S Class,Sedan,Metan/Propan,1
5903,Audi,A4,Sedan,Petrol,0
5904,Renault,Kadjar,Crossover,Diesel,1
5905,Lexus,NX Series,Crossover,Hybrid,1
5906,Mercedes,E Class,Sedan,Diesel,1
5907,Renault,Megane,Universal,Diesel,1
5908,Ford,Rare,Pickup,Petrol,1
5909,Mini,Rare,Hatchback,Petrol,1
5910,Mercedes,C Class,Sedan,Metan/Propan,1
5911,Toyota,Camry,Sedan,Metan/Propan,1
5912,Honda,Accord,Sedan,Petrol,1
5913,Mercedes,Rare,Microvan,Diesel,1
5914,Toyota,Avensis Verso,Minivan,Diesel,1
5915,Mercedes,C Class,Universal,Diesel,0
5916,Nissan,Juke,Crossover,Petrol,0
5917,Honda,CR-V,Crossover,Petrol,1
5918,Hyundai,Tucson,Crossover,Petrol,1
5919,Toyota,Land Cruiser Prado,SUV,Diesel,1
5920,Honda,Accord,Sedan,Petrol,1
5921,Volkswagen,Jetta,Sedan,Petrol,1
5922,Mercedes,C Class,Universal,Diesel,1
5923,Porsche,Cayenne,Crossover,Diesel,1
5924,Toyota,Avensis,Universal,Petrol,0
5925,Volkswagen,Golf,Hatchback,Petrol,0
5926,Audi,A6,Sedan,Diesel,1
5927,Volkswagen,Passat,Sedan,Diesel,1
5928,Audi,A8,Sedan,Petrol,1
5929,Hyundai,Tucson,Crossover,Petrol,1
5930,Volkswagen,Golf,Hatchback,Diesel,1
5931,Mercedes,C Class,Sedan,Petrol,1
5932,Mitsubishi,Lancer,Sedan,Petrol,0
5933,BMW,5 Series,Sedan,Diesel,1
5934,Honda,Accord,Sedan,Hybrid,1
5935,Seat,Rare,Sedan,Metan/Propan,0
5936,Volkswagen,Touran,Universal,Metan/Propan,1
5937,Land Rover,Rare,Crossover,Diesel,1
5938,Volvo,XC90,Universal,Diesel,1
5939,Seat,Rare,Combi,Diesel,0
5940,Land Rover,Range Rover,Crossover,Diesel,1
5941,BMW,5 Series,Sedan,Diesel,1
5942,Hyundai,Getz,Hatchback,Petrol,0
5943,BMW,3 Series,Sedan,Diesel,0
5944,Toyota,Prius,Hatchback,Hybrid,1
5945,Toyota,Corolla,Sedan,Metan/Propan,1
5946,Toyota,Prius,Hatchback,Hybrid,1
5947,Volkswagen,Passat,Sedan,Petrol,1
5948,Skoda,Rare,Crossover,Petrol,0
5949,Skoda,Fabia,Universal,Diesel,0
5950,Renault,Clio,Universal,Diesel,0
5951,Renault,Grand Scenic,Universal,Diesel,0
5952,Ford,Fusion,Sedan,Hybrid,1
5953,BMW,X5,SUV,Petrol,1
5954,Audi,A4,Sedan,Petrol,1
5955,Mercedes,E Class,Sedan,Petrol,1
5956,Volkswagen,Passat,Sedan,Petrol,1
5957,Volkswagen,Rare,Minivan,Diesel,1
5958,Opel,Astra,Universal,Metan/Propan,0
5959,Ford,Fusion,Sedan,Plug-in Hybrid,1
5960,Mercedes,Rare,SUV,Diesel,1
5961,Mercedes,E Class,Sedan,Diesel,1
5962,Mercedes,E Class,Sedan,Diesel,1
5963,Ford,Fusion,Sedan,Hybrid,1
5964,BMW,7 Series,Sedan,Diesel,1
5965,Volkswagen,Passat CC,Sedan,Petrol,1
5966,Toyota,Auris,Universal,Diesel,0
5967,BMW,X3,Crossover,Diesel,1
5968,Volkswagen,Passat,Universal,Metan/Propan,0
5969,Mercedes,C Class,Universal,Diesel,1
5970,Volkswagen,Rare,Universal,Petrol,0
5971,Renault,Kadjar,Crossover,Diesel,1
5972,Infiniti,Rare,Crossover,Hybrid,1
5973,Toyota,Avalon,Sedan,Hybrid,1
5974,Toyota,Prius,Hatchback,Hybrid,1
5975,Mercedes,E Class,Sedan,Petrol,1
5976,Mercedes,E Class,Sedan,Hybrid,1
5977,KIA,Rare,Crossover,Hybrid,1
5978,BMW,7 Series,Sedan,Metan/Propan,1
5979,Volkswagen,Sharan,Minivan,Diesel,0
5980,Mercedes,GLC,Crossover,Diesel,1
5981,BMW,3 Series,Sedan,Petrol,1
5982,Mercedes,E Class,Sedan,Diesel,1
5983,Mercedes,GLC,Crossover,Diesel,1
5984,Toyota,Auris,Hatchback,Diesel,1
5985,Renault,Scenic,Universal,Diesel,1
5986,Mercedes,Vito,Minivan,Diesel,0
5987,Audi,A6,Sedan,Petrol,0
5988,Renault,Kadjar,Crossover,Diesel,1
5989,Audi,A6,Sedan,Petrol,1
5990,Dacia,Duster,Crossover,Diesel,0
5991,Hyundai,Accent,Sedan,Petrol,1
5992,Mercedes,Rare,Coupe,Diesel,1
5993,Toyota,Auris,Hatchback,Diesel,0
5994,Skoda,Superb,Sedan,Diesel,1
5995,Mercedes,E Class,Sedan,Metan/Propan,1
5996,Skoda,Rare,Sedan,Petrol,0
5997,Dacia,Rare,Universal,Petrol,0
5998,Renault,Scenic,Universal,Diesel,0
5999,Citroen,Rare,Crossover,Diesel,1
6000,Audi,Q5,Crossover,Petrol,1
6001,Honda,Accord,Sedan,Hybrid,1
6002,Lexus,RX Series,Crossover,Hybrid,1
6003,Mercedes,E Class,Sedan,Hybrid,1
6004,Volkswagen,Jetta,Sedan,Hybrid,1
6005,Toyota,Land Cruiser Prado,Crossover,Metan/Propan,1
6006,Honda,CR-V,Crossover,Diesel,0
6007,Audi,A4,Universal,Diesel,1
6008,Mercedes,E Class,Sedan,Diesel,1
6009,Renault,Scenic,Hatchback,Diesel,0
6010,Hyundai,Tucson,Crossover,Petrol,1
6011,Audi,A6,Sedan,Petrol,1
6012,BMW,5 Series,Sedan,Metan/Propan,1
6013,Hyundai,Santa FE,Crossover,Petrol,1
6014,Ford,Rare,Crossover,Petrol,1
6015,Volvo,XC90,Crossover,Diesel,1
6016,Renault,Megane,Hatchback,Diesel,0
6017,BMW,Rare,Coupe,Petrol,1
6018,BMW,3 Series,Sedan,Diesel,0
6019,Mercedes,E Class,Sedan,Diesel,1
6020,Lexus,Rare,SUV,Metan/Propan,1
6021,Dacia,Rare,Hatchback,Petrol,0
6022,Renault,Megane,Hatchback,Diesel,1
6023,Volkswagen,Passat,Sedan,Metan/Propan,0
6024,Volkswagen,Golf,Hatchback,Petrol,0
6025,KIA,Sportage,Crossover,Diesel,1
6026,Volkswagen,Rare,Minivan,Diesel,0
6027,BMW,5 Series,Sedan,Diesel,1
6028,Suzuki,Rare,Crossover,Petrol,0
6029,Volkswagen,Golf,Hatchback,Petrol,1
6030,Mercedes,Vito,Minivan,Diesel,1
6031,Volkswagen,Passat,Sedan,Petrol,1
6032,Porsche,Rare,Sedan,Petrol,1
6033,Mercedes,S Class,Sedan,Diesel,1
6034,Lexus,Rare,Crossover,Metan/Propan,1
6035,Volkswagen,Golf,Hatchback,Petrol,0
6036,BMW,X6,Crossover,Petrol,1
6037,Infiniti,Rare,Hatchback,Petrol,1
6038,Volkswagen,Touran,Minivan,Petrol,0
6039,Toyota,Auris,Hatchback,Hybrid,1
6040,BMW,X5,Crossover,Diesel,1
6041,Nissan,Qashqai,Crossover,Diesel,0
6042,BMW,X6,Crossover,Diesel,1
6043,Citroen,Rare,Microvan,Diesel,1
6044,Ford,Mondeo,Sedan,Metan/Propan,0
6045,Renault,Kadjar,Crossover,Petrol,0
6046,Land Rover,Rare,Crossover,Diesel,1
6047,Mercedes,M Class,Universal,Diesel,1
6048,Saab,Rare,Sedan,Diesel,1
6049,BMW,7 Series,Sedan,Petrol,1
6050,Dacia,Logan,Hatchback,Diesel,0
6051,Volkswagen,Passat,Universal,Diesel,1
6052,Hyundai,Tucson,Crossover,Diesel,1
6053,Toyota,C-HR,Crossover,Hybrid,1
6054,Renault,Megane,Universal,Diesel,0
6055,Infiniti,Rare,Crossover,Hybrid,1
6056,BMW,Rare,Hatchback,Hybrid,1
6057,Volvo,Rare,Universal,Plug-in Hybrid,1
6058,Toyota,Prius,Hatchback,Plug-in Hybrid,1
6059,Subaru,Rare,Crossover,Metan/Propan,1
6060,Ford,Fusion,Sedan,Hybrid,1
6061,Hyundai,Santa FE,Crossover,Petrol,1
6062,Skoda,Superb,Sedan,Diesel,1
6063,Toyota,Prius,Hatchback,Hybrid,1
6064,Lexus,Es Series,Sedan,Petrol,1
6065,Lexus,RX Series,Crossover,Hybrid,1
6066,Mercedes,GLK Class,Crossover,Diesel,1
6067,Mercedes,GLC,Crossover,Diesel,1
6068,Mercedes,S Class,Sedan,Diesel,1
6069,Volkswagen,Rare,Sedan,Petrol,1
6070,Renault,Megane,Universal,Diesel,1
6071,Ford,Rare,Crossover,Petrol,1
6072,Volkswagen,Touran,Universal,Petrol,1
6073,Volvo,Rare,Hatchback,Diesel,0
6074,Honda,CR-V,Crossover,Diesel,0
6075,Renault,Scenic,Universal,Diesel,1
6076,Mercedes,E Class,Sedan,Diesel,1
6077,Honda,Accord,Sedan,Petrol,1
6078,Mercedes,E Class,Sedan,Petrol,1
6079,Nissan,Rare,Crossover,Petrol,0
6080,BMW,X5,Crossover,Petrol,1
6081,Mercedes,C Class,Sedan,Petrol,1
6082,Volkswagen,Rare,Hatchback,Diesel,0
6083,Mitsubishi,Outlander,Crossover,Plug-in Hybrid,1
6084,Mini,Rare,Hatchback,Diesel,1
6085,Honda,CR-V,Crossover,Petrol,0
6086,BMW,X3,Crossover,Petrol,1
6087,Renault,Rare,Sedan,Petrol,0
6088,Mini,Rare,Cabriolet,Petrol,0
6089,Mini,Rare,Cabriolet,Petrol,0
6090,Toyota,Yaris,Hatchback,Petrol,0
6091,Renault,Megane,Universal,Diesel,1
6092,Opel,Meriva,Hatchback,Metan/Propan,0
6093,Chevrolet,Aveo,Sedan,Petrol,0
6094,Ford,Fusion,Sedan,Plug-in Hybrid,1
6095,Renault,Scenic,Universal,Diesel,1
6096,Mercedes,Rare,Crossover,Petrol,1
6097,Mercedes,B Class,Universal,Petrol,1
6098,BMW,7 Series,Sedan,Metan/Propan,1
6099,Volkswagen,Passat,Universal,Metan/Propan,1
6100,BMW,X3,Crossover,Diesel,1
6101,Volvo,XC60,Crossover,Diesel,1
6102,Skoda,Superb,Universal,Diesel,1
6103,Toyota,Auris,Hatchback,Hybrid,1
6104,Volkswagen,Caddy,Universal,Diesel,0
6105,Nissan,Qashqai,Crossover,Diesel,1
6106,Volkswagen,Passat,Universal,Petrol,1
6107,Chevrolet,Rare,Sedan,Petrol,0
6108,Toyota,Avensis,Universal,Petrol,1
6109,Volkswagen,Jetta,Sedan,Hybrid,1
6110,KIA,Rio,Hatchback,Diesel,0
6111,Toyota,Prius,Hatchback,Hybrid,1
6112,Hyundai,Rare,Universal,Diesel,1
6113,Opel,Insignia,Sedan,Petrol,1
6114,Toyota,Auris,Universal,Diesel,0
6115,Ford,Fusion,Sedan,Petrol,1
6116,Nissan,Qashqai,Crossover,Petrol,1
6117,Honda,CR-V,Crossover,Diesel,1
6118,Dacia,Lodgy,Universal,Petrol,0
6119,Volkswagen,Tiguan,Crossover,Petrol,0
6120,Volkswagen,Passat,Sedan,Diesel,1
6121,BMW,X3,Crossover,Diesel,0
6122,Audi,Q5,Crossover,Diesel,1
6123,Renault,Scenic,Hatchback,Diesel,0
6124,Nissan,Juke,Crossover,Petrol,1
6125,Hyundai,Sonata,Sedan,Petrol,1
6126,Honda,CR-V,Crossover,Petrol,1
6127,Nissan,Rare,Hatchback,Diesel,0
6128,Nissan,Juke,Crossover,Petrol,1
6129,BMW,Rare,Universal,Diesel,1
6130,BMW,Rare,Coupe,Diesel,1
6131,Volkswagen,Passat,Sedan,Diesel,1
6132,Mercedes,E Class,Universal,Diesel,1
6133,Toyota,Rare,Universal,Diesel,0
6134,Honda,Civic,Sedan,Petrol,1
6135,Skoda,Fabia,Universal,Diesel,0
6136,Toyota,Auris,Universal,Diesel,0
6137,Volkswagen,Transporter,Minivan,Metan/Propan,0
6138,Toyota,Prius,Hatchback,Hybrid,1
6139,KIA,Optima,Sedan,Hybrid,1
6140,Audi,A6,Sedan,Petrol,1
6141,Mercedes,Series (W124),Sedan,Petrol,0
6142,Lexus,Es Series,Sedan,Hybrid,1
6143,Audi,A4,Universal,Petrol,0
6144,Toyota,Auris,Universal,Hybrid,1
6145,Toyota,Auris,Hatchback,Diesel,0
6146,Toyota,Camry,Sedan,Metan/Propan,1
6147,Hyundai,Santa FE,Crossover,Petrol,1
6148,Audi,A4,Sedan,Petrol,1
6149,KIA,Optima,Sedan,Hybrid,1
6150,Mercedes,B Class,Universal,Petrol,0
6151,KIA,Rare,Hatchback,Hybrid,1
6152,Toyota,Avensis Verso,Universal,Diesel,0
6153,Volkswagen,Passat,Universal,Diesel,1
6154,Dacia,Duster,Crossover,Diesel,0
6155,Audi,Q7,Crossover,Petrol,1
6156,Lexus,CT Series,Hatchback,Hybrid,1
6157,Volkswagen,Golf,Hatchback,Petrol,0
6158,Toyota,Rare,Hatchback,Petrol,0
6159,BMW,X6,Crossover,Petrol,1
6160,Lexus,RX Series,Crossover,Metan/Propan,1
6161,KIA,Sorento,Crossover,Diesel,1
6162,BMW,5 Series,Sedan,Diesel,1
6163,Skoda,Octavia,Universal,Petrol,0
6164,Mercedes,E Class,Sedan,Petrol,0
6165,Mini,Rare,Hatchback,Petrol,1
6166,Toyota,Prius,Hatchback,Plug-in Hybrid,1
6167,Renault,Kadjar,Crossover,Diesel,1
6168,Ford,Fusion,Sedan,Hybrid,1
6169,Opel,Astra,Hatchback,Petrol,0
6170,BMW,5 Series,Sedan,Petrol,1
6171,Mercedes,E Class,Sedan,Diesel,1
6172,Mercedes,GLK Class,Crossover,Diesel,1
6173,Skoda,Fabia,Universal,Diesel,0
6174,Volkswagen,Golf,Hatchback,Diesel,0
6175,Toyota,C-HR,Crossover,Hybrid,1
6176,Volkswagen,Golf,Universal,Petrol,1
6177,Mercedes,E Class,Sedan,Diesel,1
6178,Toyota,Rav 4,Crossover,Diesel,1
6179,Mini,Rare,Cabriolet,Petrol,0
6180,Mitsubishi,Rare,Crossover,Petrol,1
6181,Skoda,Fabia,Universal,Diesel,0
6182,Dacia,Duster,Crossover,Diesel,0
6183,Volkswagen,Passat,Universal,Metan/Propan,1
6184,Honda,CR-V,Sedan,Metan/Propan,1
6185,Nissan,Qashqai,Crossover,Diesel,0
6186,Nissan,Juke,Crossover,Petrol,1
6187,Opel,Zafira,Universal,Petrol,0
6188,Opel,Astra,Universal,Petrol,0
6189,KIA,Rare,Hatchback,Petrol,0
6190,Toyota,Prius,Hatchback,Hybrid,1
6191,Volkswagen,Golf,Hatchback,Petrol,0
6192,Ford,Fusion,Sedan,Plug-in Hybrid,1
6193,KIA,Sportage,Sedan,Diesel,0
6194,Mercedes,E Class,Sedan,Diesel,1
6195,Mercedes,E Class,Sedan,Diesel,1
6196,Renault,Megane,Universal,Diesel,0
6197,Seat,Ibiza,Universal,Diesel,0
6198,Mercedes,E Class,Sedan,Diesel,1
6199,Mercedes,Vito,Microvan,Diesel,0
6200,Audi,Rare,Hatchback,Hybrid,1
6201,Land Rover,Range Rover,Crossover,Diesel,1
6202,Honda,Civic,Sedan,Hybrid,1
6203,Lexus,RX Series,Crossover,Petrol,1
6204,Opel,Astra,Universal,Petrol,1
6205,Mercedes,Rare,Crossover,Diesel,1
6206,Chevrolet,Rare,Sedan,Hybrid,1
6207,Land Rover,Range Rover Sport,Crossover,Diesel,1
6208,Mercedes,GLC,Crossover,Petrol,1
6209,Ford,Rare,Crossover,Petrol,1
6210,Land Rover,Range Rover,SUV,Diesel,1
6211,Honda,Civic,Sedan,Hybrid,1
6212,Hyundai,ix35,Crossover,Diesel,1
6213,Mercedes,Rare,Crossover,Diesel,1
6214,Mercedes,E Class,Sedan,Metan/Propan,0
6215,Renault,Scenic,Universal,Diesel,0
6216,Mercedes,E Class,Sedan,Diesel,1
6217,Skoda,Fabia,Universal,Diesel,0
6218,Citroen,Rare,Hatchback,Petrol,0
6219,Toyota,Auris,Universal,Hybrid,1
6220,Renault,Talisman,Universal,Diesel,1
6221,Mitsubishi,Outlander,Crossover,Plug-in Hybrid,1
6222,Lexus,CT Series,Hatchback,Hybrid,1
6223,Opel,Astra,Universal,Diesel,0
6224,Hyundai,Tucson,Crossover,Metan/Propan,0
6225,Audi,A6,Sedan,Diesel,1
6226,Audi,A6,Sedan,Petrol,1
6227,Dacia,Logan,Universal,Diesel,0
6228,Volkswagen,Golf,Hatchback,Petrol,1
6229,Renault,Megane,Hatchback,Diesel,0
6230,Nissan,Qashqai,Crossover,Petrol,1
6231,Lexus,RX Series,Crossover,Hybrid,1
6232,Audi,A8,Sedan,Petrol,1
6233,Volvo,XC60,Crossover,Hybrid,1
6234,Nissan,Qashqai,Crossover,Diesel,0
6235,Renault,Megane,Universal,Diesel,0
6236,Ford,Fusion,Sedan,Hybrid,1
6237,BMW,5 Series,Sedan,Diesel,1
6238,Volkswagen,Rare,Cabriolet,Petrol,0
6239,Toyota,Auris,Hatchback,Diesel,0
6240,Mini,Rare,Hatchback,Petrol,1
6241,Nissan,Qashqai,Crossover,Diesel,0
6242,Mercedes,B Class,Hatchback,Metan/Propan,1
6243,Lexus,RX Series,Crossover,Metan/Propan,1
6244,Honda,Accord,Sedan,Hybrid,1
6245,Audi,A5,Sedan,Diesel,1
6246,Lincoln,Rare,Sedan,Hybrid,1
6247,Honda,CR-V,Crossover,Diesel,1
6248,Zaz,Rare,Sedan,Petrol,0
6249,Ford,Focus,Universal,Petrol,0
6250,Hyundai,Rare,Sedan,Diesel,1
6251,Toyota,Prius,Universal,Hybrid,1
6252,Opel,Astra,Universal,Diesel,0
6253,Audi,Q5,Crossover,Petrol,1
6254,Skoda,Octavia,Sedan,Petrol,0
6255,Lexus,GS Series,Sedan,Petrol,1
6256,Toyota,Avalon,Sedan,Hybrid,1
6257,Mazda,Rare,Crossover,Metan/Propan,1
6258,Honda,CR-V,Crossover,Petrol,1
6259,Nissan,X-Trail,Crossover,Hybrid,1
6260,Toyota,Rare,Universal,Hybrid,1
6261,Mercedes,E Class,Sedan,Hybrid,1
6262,Suzuki,Rare,Crossover,Petrol,1
6263,Honda,CR-V,Crossover,Diesel,1
6264,Volkswagen,Golf,Hatchback,Petrol,0
6265,Mercedes,E Class,Universal,Diesel,1
6266,Toyota,Avensis,Universal,Diesel,0
6267,Renault,Kangoo,Combi,Diesel,0
6268,Honda,Accord,Sedan,Hybrid,1
6269,Mercedes,GLK Class,Crossover,Diesel,1
6270,Volkswagen,Touareg,Crossover,Diesel,0
6271,Mitsubishi,Rare,Hatchback,Petrol,0
6272,Mercedes,Rare,Universal,Diesel,0
6273,Mitsubishi,Rare,Hatchback,Petrol,0
6274,Mercedes,E Class,Sedan,Diesel,1
6275,Mercedes,M Class,Universal,Diesel,1
6276,Volvo,Rare,Sedan,Metan/Propan,1
6277,Toyota,Auris,Hatchback,Hybrid,1
6278,KIA,Sportage,Crossover,Petrol,1
6279,Hyundai,Tucson,Crossover,Diesel,1
6280,Renault,Megane,Cabriolet,Diesel,1
6281,Jeep,Rare,Crossover,Petrol,1
6282,BMW,5 Series,Sedan,Diesel,1
6283,Toyota,Auris,Universal,Hybrid,1
6284,Ford,Focus,Universal,Petrol,0
6285,Hyundai,Tucson,Crossover,Diesel,1
6286,Toyota,Land Cruiser Prado,SUV,Metan/Propan,1
6287,Toyota,Avensis,Universal,Diesel,0
6288,Mercedes,Rare,Crossover,Diesel,1
6289,BMW,Rare,Crossover,Diesel,1
6290,Porsche,Cayenne,Crossover,Diesel,1
6291,Renault,Talisman,Sedan,Diesel,1
6292,Audi,A4,Universal,Diesel,1
6293,Lexus,Es Series,Sedan,Hybrid,1
6294,Hyundai,Rare,Universal,Diesel,0
6295,BMW,5 Series,Sedan,Diesel,1
6296,Renault,Megane,Hatchback,Diesel,1
6297,Dacia,Rare,Crossover,Petrol,0
6298,Mercedes,Vito,Minivan,Diesel,1
6299,BMW,X5,Crossover,Diesel,1
6300,Renault,Kadjar,Crossover,Petrol,1
6301,Toyota,Avensis,Sedan,Petrol,1
6302,BMW,X3,Crossover,Diesel,0
6303,BMW,X5,Crossover,Diesel,1
6304,Renault,Grand Scenic,Universal,Diesel,1
6305,Volkswagen,Polo,Hatchback,Petrol,1
6306,BMW,5 Series,Sedan,Diesel,1
6307,Toyota,Auris,Universal,Hybrid,1
6308,Mercedes,Rare,Universal,Diesel,0
6309,Porsche,Cayenne,Crossover,Diesel,1
6310,Volvo,XC90,Crossover,Diesel,1
6311,BMW,5 Series,Sedan,Petrol,1
6312,Skoda,Superb,Sedan,Diesel,1
6313,Lexus,CT Series,Hatchback,Hybrid,1
6314,Audi,A8,Sedan,Diesel,1
6315,Renault,Kadjar,Crossover,Diesel,1
6316,Toyota,Land Cruiser,SUV,Diesel,1
6317,Renault,Scenic,Universal,Diesel,1
6318,Volkswagen,Golf,Hatchback,Petrol,1
6319,Audi,A6,Sedan,Petrol,1
6320,Volvo,Rare,Sedan,Diesel,1
6321,Audi,Q7,Crossover,Petrol,1
6322,Ford,Fusion,Sedan,Hybrid,1
6323,Volkswagen,Golf,Hatchback,Plug-in Hybrid,1
6324,Lexus,CT Series,Hatchback,Hybrid,1
6325,Opel,Astra,Combi,Diesel,0
6326,Opel,Astra,Universal,Diesel,0
6327,BMW,5 Series,Sedan,Diesel,1
6328,Lincoln,Rare,Sedan,Hybrid,1
6329,Skoda,Superb,Universal,Diesel,1
6330,Volvo,XC90,Crossover,Diesel,1
