,Make,Model,Style,Fuel_type,Transmission
132,Mitsubishi,Outlander,SUV,Petrol,1
133,Ford,Focus,Universal,Diesel,0
134,Renault,Megane,Universal,Diesel,0
135,Honda,Civic,Universal,Petrol,0
136,Hyundai,Tucson,Crossover,Metan/Propan,1
137,Renault,Rare,Sedan,Petrol,0
138,Audi,A4,Sedan,Petrol,1
139,Audi,Rare,Hatchback,Electric,1
140,Lexus,CT Series,Sedan,Hybrid,1
141,Toyota,Auris,Universal,Diesel,0
142,Vaz,2107,Sedan,Petrol,0
143,Renault,Grand Scenic,Minivan,Diesel,1
144,Skoda,Octavia,Universal,Petrol,1
145,Skoda,Octavia,Sedan,Diesel,1
146,Volkswagen,Rare,Coupe,Petrol,0
147,Ford,Focus,Universal,Diesel,1
148,Opel,Astra,Universal,Diesel,0
149,Toyota,Avensis,Universal,Diesel,0
150,BMW,7 Series,Sedan,Diesel,1
151,Toyota,Auris,Hatchback,Hybrid,1
152,Fiat,Rare,Hatchback,Diesel,1
153,Chevrolet,Aveo,Hatchback,Diesel,0
154,Renault,Megane,Sedan,Diesel,0
155,Suzuki,Rare,SUV,Petrol,1
156,Volkswagen,Golf,Hatchback,Petrol,1
157,Daewoo,Rare,Hatchback,Petrol,0
158,Nissan,Almera,Hatchback,Petrol,0
159,Renault,Grand Scenic,Minivan,Diesel,0
160,Honda,Rare,Hatchback,Plug-in Hybrid,1
161,Toyota,Rare,Minivan,Petrol,1
162,BMW,5 Series,Sedan,Petrol,0
163,Mitsubishi,Outlander,Crossover,Petrol,0
164,Volkswagen,Touran,Minivan,Petrol,0
165,Toyota,Rare,Hatchback,Plug-in Hybrid,1
166,Volkswagen,Transporter,Microvan,Diesel,0
167,Skoda,Octavia,Universal,Petrol,0
168,Lincoln,Rare,Sedan,Hybrid,1
169,Renault,Scenic,Universal,Diesel,0
170,Mercedes,Rare,Universal,Diesel,0
171,Toyota,Land Cruiser Prado,Crossover,Metan/Propan,1
172,Volkswagen,Polo,Hatchback,Diesel,0
173,Volkswagen,Jetta,Sedan,Hybrid,1
174,KIA,Rio,Universal,Petrol,0
175,BMW,X6,Crossover,Petrol,1
176,Toyota,Corolla,Hatchback,Petrol,1
177,Opel,Corsa,Hatchback,Diesel,0
178,Toyota,Auris,Hatchback,Hybrid,1
179,Nissan,Qashqai,Crossover,Petrol,0
180,Ford,C-Max,Microvan,Diesel,0
181,Renault,Megane,Minivan,Diesel,0
182,Renault,Grand Scenic,Hatchback,Diesel,0
183,KIA,Sorento,SUV,Diesel,1
184,Nissan,Qashqai,Crossover,Diesel,0
185,Land Rover,Freelander,SUV,Diesel,1
186,Mazda,626,Sedan,Metan/Propan,0
187,Toyota,Prius,Hatchback,Hybrid,1
188,Hyundai,Matrix,Universal,Diesel,0
189,Toyota,Auris,Universal,Diesel,0
190,Audi,Q5,SUV,Petrol,1
191,Volkswagen,Caddy,Universal,Diesel,0
192,Volkswagen,Golf,Universal,Petrol,0
193,Nissan,Qashqai,Crossover,Diesel,0
194,Opel,Astra,Universal,Diesel,0
195,Toyota,Yaris,Sedan,Petrol,0
196,Opel,Rare,Coupe,Metan/Propan,0
197,Renault,Kadjar,Crossover,Diesel,1
198,Ford,Fusion,Sedan,Hybrid,1
199,Volkswagen,Passat,Combi,Metan/Propan,1
200,Renault,Clio,Hatchback,Petrol,1
201,Renault,Rare,Minivan,Diesel,1
202,BMW,3 Series,Sedan,Petrol,0
203,Skoda,Rare,Crossover,Petrol,1
204,Land Rover,Rare,SUV,Diesel,1
205,Volkswagen,Sharan,Universal,Petrol,0
206,Volkswagen,Passat,Sedan,Diesel,1
207,Mercedes,E Class,Sedan,Diesel,1
208,Opel,Astra,Universal,Diesel,0
209,Renault,Grand Scenic,Universal,Diesel,1
210,BMW,7 Series,Sedan,Petrol,1
211,BMW,7 Series,Sedan,Diesel,1
212,Peugeot,Rare,Minivan,Diesel,1
213,Honda,CR-V,SUV,Diesel,0
214,Skoda,Superb,Sedan,Petrol,1
215,Mercedes,E Class,Sedan,Diesel,1
216,Skoda,Superb,Sedan,Petrol,1
217,Volkswagen,Jetta,Sedan,Hybrid,1
218,Hyundai,ix35,Pickup,Diesel,1
219,Toyota,Rare,Hatchback,Hybrid,1
220,Renault,Grand Scenic,Universal,Diesel,0
221,BMW,X5,SUV,Petrol,1
222,Renault,Talisman,Sedan,Diesel,0
223,Renault,Megane,Universal,Metan/Propan,0
224,Nissan,Juke,SUV,Petrol,1
225,Subaru,Rare,Hatchback,Diesel,1
226,Dacia,Logan,Sedan,Diesel,0
227,Nissan,X-Trail,SUV,Diesel,1
228,Mercedes,C Class,Universal,Plug-in Hybrid,1
229,Toyota,Rav 4,Crossover,Hybrid,1
230,Mercedes,S Class,Sedan,Diesel,1
231,Rare,Rare,Sedan,Metan/Propan,0
232,Seat,Ibiza,Universal,Diesel,0
233,Nissan,Juke,Crossover,Petrol,1
234,Audi,A4,Sedan,Metan/Propan,1
235,Opel,Astra,Universal,Diesel,0
236,Citroen,Rare,Universal,Diesel,0
237,Mercedes,C Class,Sedan,Petrol,1
238,BMW,X3,SUV,Diesel,0
239,Ford,Rare,Hatchback,Metan/Propan,0
240,Volvo,XC90,SUV,Petrol,1
241,Renault,Megane,Universal,Diesel,0
242,BMW,5 Series,Sedan,Diesel,1
243,Hyundai,Santa FE,SUV,Diesel,1
244,Skoda,Superb,Sedan,Diesel,0
245,BMW,X3,Crossover,Diesel,1
246,Nissan,Rare,Hatchback,Diesel,0
247,Toyota,Rav 4,Crossover,Hybrid,1
248,Volvo,XC90,SUV,Petrol,1
249,Lexus,CT Series,Hatchback,Hybrid,1
250,Renault,Rare,Hatchback,Diesel,0
251,Toyota,Auris,Hatchback,Diesel,0
252,Toyota,Auris,Hatchback,Diesel,0
253,BMW,7 Series,Sedan,Diesel,1
254,Volkswagen,Caddy,Minivan,Diesel,0
255,Opel,Corsa,Hatchback,Diesel,0
256,Honda,CR-V,Crossover,Diesel,1
257,Mitsubishi,Rare,Minivan,Metan/Propan,0
258,Volkswagen,Polo,Hatchback,Diesel,0
259,Hyundai,Santa FE,Crossover,Diesel,1
260,Mazda,6,Sedan,Diesel,1
261,Volkswagen,Caddy,Microvan,Diesel,0
262,BMW,5 Series,Sedan,Petrol,1
263,BMW,5 Series,Sedan,Diesel,0
264,Mercedes,E Class,Sedan,Diesel,1
265,Volkswagen,Golf,Universal,Petrol,0
266,Toyota,Corolla,Universal,Diesel,0
267,Audi,A4,Cabriolet,Petrol,1
268,Volkswagen,Caddy,Minivan,Diesel,0
269,Toyota,Auris,Hatchback,Hybrid,1
270,Volkswagen,Jetta,Sedan,Hybrid,1
271,Opel,Astra,Universal,Diesel,0
272,BMW,3 Series,Sedan,Petrol,1
273,Skoda,Fabia,Universal,Diesel,0
274,Mercedes,E Class,Sedan,Diesel,1
275,Honda,Civic,Hatchback,Petrol,0
276,Ford,Fusion,Sedan,Plug-in Hybrid,1
277,Ford,Fusion,Hatchback,Diesel,1
278,Dacia,Logan,Sedan,Metan/Propan,0
279,Volkswagen,Golf,Hatchback,Petrol,0
280,Mercedes,GLK Class,Crossover,Diesel,1
281,Toyota,Rare,Sedan,Petrol,0
282,Honda,CR-V,Crossover,Diesel,1
283,Volvo,XC90,SUV,Metan/Propan,1
284,Volkswagen,Touran,Minivan,Diesel,1
