,Year,Distance,Engine_capacity(cm3),Price(euro)
158,2003,90000.0,1500.0,1000.0
159,2013,165000.0,1500.0,7500.0
160,2018,36000.0,1500.0,18499.0
161,2015,102000.0,1800.0,12500.0
162,2004,2899.0,2500.0,6100.0
163,2003,208367.0,2000.0,4600.0
164,2011,168000.0,1400.0,7999.0
165,2019,2500.0,1800.0,18999.0
166,2004,190000.0,1896.0,6300.0
167,2011,210000.0,1400.0,6400.0
168,2014,160000.0,2000.0,12200.0
169,2004,180000.0,1500.0,3300.0
170,1984,100000.0,2400.0,1000.0
171,2007,202000.0,2700.0,14600.0
172,2017,170000.0,1422.0,8200.0
173,2013,198000.0,1400.0,8400.0
174,2004,183454.0,1300.0,2500.0
175,2013,104000.0,2979.0,30900.0
176,2006,119000.0,1600.0,5700.0
177,2007,283000.0,1300.0,3499.0
178,2017,146000.0,1800.0,11900.0
179,2009,202000.0,1990.0,7100.0
180,2016,141000.0,1500.0,9000.0
181,2013,220000.0,1500.0,5000.0
182,2008,232012.0,1500.0,3700.0
183,2018,38999.0,2000.0,24800.0
184,2014,219000.0,1500.0,10999.0
185,2007,300000.0,2200.0,9200.0
186,1994,300000.0,200.0,18000.0
187,2011,121000.0,1800.0,7900.0
188,2004,250000.0,1500.0,4000.0
189,2014,200000.0,1390.0,8600.0
190,2013,143000.0,2000.0,17850.0
191,2013,174000.0,2000.0,9650.0
192,2009,200000.0,1400.0,4800.0
193,2007,137660.0,1500.0,6600.0
194,2011,213548.0,1300.0,5650.0
195,2006,193096.0,1500.0,3700.0
196,1992,400000.0,2000.0,1600.0
197,2016,150425.0,1500.0,14990.0
198,2018,105000.0,2000.0,15000.0
199,2000,191000.0,1800.0,3850.0
200,1998,129448.0,1600.0,2399.0
201,2015,168000.0,1600.0,18650.0
202,1994,180000.0,1600.0,2400.0
203,2015,150000.0,1400.0,11000.0
204,2007,223000.0,2700.0,15000.0
205,2011,141000.0,1400.0,9800.0
206,2003,250000.0,1922.0,4600.0
207,2006,250000.0,2200.0,9999.0
208,2011,176000.0,1300.0,6000.0
209,2014,167000.0,1500.0,8600.0
210,2008,387000.0,300.0,12000.0
211,2011,180000.0,2999.0,22000.0
212,2006,170000.0,2000.0,2000.0
213,2013,178500.0,2200.0,15700.0
214,2012,265000.0,1800.0,8999.0
215,2002,331200.0,2200.0,6399.0
216,2017,120000.0,1999.0,23900.0
217,2013,110000.0,1400.0,8000.0
218,2010,190000.0,2000.0,12000.0
219,2014,144947.0,1496.0,7499.0
220,2012,180000.0,1500.0,7499.0
221,2012,157000.0,3000.0,17499.0
222,2016,151130.0,1500.0,12499.0
223,2006,170000.0,2000.0,2900.0
224,2011,155000.0,1600.0,9300.0
225,2011,116000.0,1400.0,7300.0
226,2007,185000.0,1500.0,3400.0
227,2015,124000.0,1600.0,13000.0
228,2015,222000.0,2000.0,17500.0
229,2016,133494.0,2494.0,21500.0
230,2001,250830.0,4000.0,4700.0
231,2016,150000.0,1596.0,3200.0
232,2011,190000.0,1200.0,5100.0
233,2012,124000.0,1600.0,9999.0
234,1997,300000.0,1800.0,2700.0
235,2012,200000.0,1300.0,6000.0
236,2006,240000.0,1600.0,2700.0
237,2015,75000.0,2000.0,19000.0
238,2009,192000.0,200.0,11000.0
239,2011,130000.0,1400.0,4700.0
240,2015,180000.0,2000.0,26500.0
241,2014,210000.0,1500.0,7199.0
242,2017,77000.0,2000.0,33000.0
243,2012,180000.0,2200.0,16750.0
244,2012,196000.0,1600.0,9950.0
245,2015,159000.0,1996.0,20500.0
246,2013,172000.0,1461.0,6299.0
247,2019,19000.0,2500.0,30000.0
248,2015,155000.0,1996.0,27800.0
249,2016,64000.0,1798.0,16000.0
250,2011,174000.0,1461.0,4550.0
251,2010,187000.0,1400.0,6500.0
252,2007,235000.0,1500.0,5400.0
253,2017,92000.0,2993.0,45000.0
254,2014,180000.0,1600.0,5800.0
255,2011,125000.0,1300.0,3750.0
256,2013,192000.0,2200.0,17500.0
257,1995,300000.0,2000.0,2500.0
258,2007,240000.0,1400.0,3750.0
259,2015,161000.0,2000.0,18000.0
260,2014,230000.0,2200.0,13000.0
261,2015,152000.0,1600.0,10300.0
262,2006,312000.0,2500.0,7800.0
263,2002,251000.0,2499.0,4650.0
264,2019,50000.0,2200.0,37000.0
265,2009,180000.0,1400.0,5300.0
266,2007,226000.0,1400.0,5500.0
267,2004,200000.0,1800.0,6500.0
268,2012,163500.0,200.0,14200.0
269,2013,133000.0,1798.0,10000.0
270,2013,131000.0,1400.0,8500.0
271,2006,368000.0,1300.0,3650.0
272,2006,180000.0,300.0,6000.0
273,2011,160000.0,1200.0,4999.0
274,2016,161024.0,2200.0,26950.0
275,2006,195000.0,1400.0,5400.0
276,2015,124000.0,2000.0,11499.0
277,2003,330000.0,1400.0,4100.0
278,2005,21548.0,1400.0,2200.0
279,2004,200000.0,1399.0,4200.0
280,2014,131000.0,2200.0,19900.0
281,1998,268000.0,1800.0,2650.0
282,2014,128200.0,2200.0,17999.0
283,2006,162000.0,2900.0,8490.0
284,2012,211856.0,200.0,6000.0
285,1998,98000.0,1000.0,900.0
286,2015,73179.0,2500.0,14000.0
287,2012,88000.0,3000.0,14800.0
288,2014,150300.0,2000.0,13200.0
289,1996,460000.0,2200.0,1300.0
290,2015,139000.0,1461.0,12800.0
291,2006,360000.0,1300.0,2999.0
