,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
141,50,24,2013,11,142865.0,1400.0,0,0,8700.0,15873.888888888889
142,52,3,2007,10,135865.0,1400.0,4,0,1500.0,9057.666666666666
143,41,62,2013,6,181000.0,1500.0,0,1,7000.0,20111.11111111111
144,45,85,2014,11,155000.0,1400.0,4,1,9700.0,19375.0
145,45,85,2015,10,164000.0,1600.0,0,1,12750.0,23428.571428571428
146,53,101,2010,2,150589.0,1400.0,4,0,7999.0,12549.083333333334
147,17,52,2015,11,152523.0,1500.0,0,1,9300.0,21789.0
148,37,23,2007,11,190000.0,1300.0,0,0,4499.0,12666.666666666666
149,50,26,2014,11,165000.0,2000.0,0,0,15600.0,20625.0
150,4,12,2006,10,260000.0,3000.0,0,1,11000.0,16250.0
151,50,24,2011,4,182251.0,1798.0,2,1,8200.0,16568.272727272728
152,16,101,2008,4,185000.0,1300.0,0,1,3600.0,13214.285714285714
153,9,28,2012,4,187000.0,1300.0,0,0,4600.0,18700.0
154,41,80,2005,10,190000.0,1500.0,0,0,3200.0,11176.470588235294
155,49,101,2005,9,400000.0,2700.0,4,1,5500.0,23529.41176470588
156,53,61,2010,4,225550.0,2000.0,4,1,9650.0,18795.833333333332
157,13,101,2003,4,220000.0,1400.0,4,0,2000.0,11578.947368421053
158,36,21,2003,4,90000.0,1500.0,4,0,1000.0,4736.8421052631575
159,41,62,2013,6,165000.0,1500.0,0,0,7500.0,18333.333333333332
160,20,101,2018,4,36000.0,1500.0,5,1,18499.0,9000.0
161,50,101,2015,6,102000.0,1800.0,4,1,12500.0,14571.42857142857
162,4,9,2004,10,2899.0,2500.0,4,0,6100.0,161.05555555555554
163,34,87,2003,3,208367.0,2000.0,4,0,4600.0,10966.684210526315
164,53,117,2011,6,168000.0,1400.0,4,0,7999.0,15272.727272727272
165,50,101,2019,4,2500.0,1800.0,5,1,18999.0,833.3333333333334
166,53,119,2004,5,190000.0,1896.0,0,0,6300.0,10555.555555555555
167,45,85,2011,11,210000.0,1400.0,4,0,6400.0,19090.909090909092
168,30,101,2014,10,160000.0,2000.0,2,1,12200.0,20000.0
169,41,107,2004,11,180000.0,1500.0,0,0,3300.0,10000.0
170,32,101,1984,11,100000.0,2400.0,0,0,1000.0,2631.5789473684213
171,50,74,2007,3,202000.0,2700.0,3,1,14600.0,13466.666666666666
172,53,90,2017,4,170000.0,1422.0,0,0,8200.0,34000.0
173,53,66,2013,10,198000.0,1400.0,2,1,8400.0,22000.0
174,25,103,2004,11,183454.0,1300.0,4,0,2500.0,10191.888888888889
175,4,128,2013,3,104000.0,2979.0,4,1,30900.0,11555.555555555555
176,50,44,2006,4,119000.0,1600.0,4,1,5700.0,7437.5
177,37,46,2007,4,283000.0,1300.0,0,0,3499.0,18866.666666666668
178,50,24,2017,4,146000.0,1800.0,2,1,11900.0,29200.0
179,36,95,2009,3,202000.0,1990.0,4,0,7100.0,15538.461538461539
180,17,33,2016,5,141000.0,1500.0,0,0,9000.0,23500.0
181,41,80,2013,6,220000.0,1500.0,0,0,5000.0,24444.444444444445
182,41,62,2008,4,232012.0,1500.0,0,0,3700.0,16572.285714285714
183,25,111,2018,9,38999.0,2000.0,0,1,24800.0,9749.75
184,36,95,2014,3,219000.0,1500.0,0,0,10999.0,27375.0
185,27,53,2007,9,300000.0,2200.0,0,1,9200.0,20000.0
186,31,11,1994,10,300000.0,200.0,3,0,18000.0,10714.285714285714
187,50,92,2011,4,121000.0,1800.0,2,1,7900.0,11000.0
188,21,79,2004,11,250000.0,1500.0,0,0,4000.0,13888.888888888889
189,50,24,2014,11,200000.0,1390.0,0,0,8600.0,25000.0
190,3,93,2013,9,143000.0,2000.0,4,1,17850.0,15888.888888888889
191,53,37,2013,11,174000.0,2000.0,0,0,9650.0,19333.333333333332
192,53,61,2009,11,200000.0,1400.0,4,0,4800.0,15384.615384615385
193,36,95,2007,3,137660.0,1500.0,0,0,6600.0,9177.333333333334
194,37,23,2011,11,213548.0,1300.0,0,0,5650.0,19413.454545454544
195,50,131,2006,10,193096.0,1500.0,4,0,3700.0,12068.5
196,37,101,1992,2,400000.0,2000.0,3,0,1600.0,13333.333333333334
197,41,68,2016,3,150425.0,1500.0,0,1,14990.0,25070.833333333332
198,17,54,2018,10,105000.0,2000.0,2,1,15000.0,26250.0
199,53,88,2000,1,191000.0,1800.0,3,1,3850.0,8681.818181818182
200,41,42,1998,4,129448.0,1600.0,4,1,2399.0,5393.666666666667
201,41,101,2015,6,168000.0,1600.0,0,1,18650.0,24000.0
202,4,6,1994,10,180000.0,1600.0,4,0,2400.0,6428.571428571428
203,45,101,2015,3,150000.0,1400.0,4,1,11000.0,21428.571428571428
204,27,101,2007,9,223000.0,2700.0,0,1,15000.0,14866.666666666666
205,53,109,2011,11,141000.0,1400.0,4,0,9800.0,12818.181818181818
206,53,88,2003,10,250000.0,1922.0,0,1,4600.0,13157.894736842105
207,32,48,2006,10,250000.0,2200.0,0,1,9999.0,15625.0
208,37,23,2011,11,176000.0,1300.0,0,0,6000.0,16000.0
209,41,62,2014,11,167000.0,1500.0,0,1,8600.0,20875.0
210,4,12,2008,10,387000.0,300.0,4,1,12000.0,27642.85714285714
211,4,12,2011,10,180000.0,2999.0,0,1,22000.0,16363.636363636364
212,38,101,2006,6,170000.0,2000.0,0,1,2000.0,10625.0
213,20,35,2013,9,178500.0,2200.0,0,0,15700.0,19833.333333333332
214,45,113,2012,10,265000.0,1800.0,4,1,8999.0,26500.0
215,32,48,2002,10,331200.0,2200.0,0,1,6399.0,16560.0
216,45,113,2017,10,120000.0,1999.0,4,1,23900.0,24000.0
217,53,66,2013,10,110000.0,1400.0,2,1,8000.0,12222.222222222223
218,21,133,2010,7,190000.0,2000.0,0,1,12000.0,15833.333333333334
219,50,101,2014,4,144947.0,1496.0,2,1,7499.0,18118.375
220,41,62,2012,11,180000.0,1500.0,0,0,7499.0,18000.0
221,4,127,2012,9,157000.0,3000.0,4,1,17499.0,15700.0
222,41,114,2016,10,151130.0,1500.0,0,0,12499.0,25188.333333333332
223,41,80,2006,11,170000.0,2000.0,3,0,2900.0,10625.0
224,36,67,2011,9,155000.0,1600.0,4,1,9300.0,14090.90909090909
225,48,101,2011,4,116000.0,1400.0,0,1,7300.0,10545.454545454546
226,12,76,2007,10,185000.0,1500.0,0,0,3400.0,12333.333333333334
227,36,125,2015,9,124000.0,1600.0,0,1,13000.0,17714.285714285714
228,32,31,2015,11,222000.0,2000.0,5,1,17500.0,31714.285714285714
229,50,102,2016,3,133494.0,2494.0,2,1,21500.0,22249.0
230,32,104,2001,10,250830.0,4000.0,0,1,4700.0,11944.285714285714
231,40,101,2016,10,150000.0,1596.0,3,0,3200.0,25000.0
232,44,64,2011,11,190000.0,1200.0,0,0,5100.0,17272.727272727272
233,36,67,2012,3,124000.0,1600.0,4,1,9999.0,12400.0
234,3,15,1997,10,300000.0,1800.0,3,1,2700.0,12000.0
235,37,23,2012,11,200000.0,1300.0,0,0,6000.0,20000.0
236,11,101,2006,11,240000.0,1600.0,0,0,2700.0,15000.0
237,32,31,2015,10,75000.0,2000.0,4,1,19000.0,10714.285714285714
238,4,126,2009,9,192000.0,200.0,0,0,11000.0,14769.23076923077
239,17,101,2011,4,130000.0,1400.0,3,0,4700.0,11818.181818181818
240,54,130,2015,9,180000.0,2000.0,4,1,26500.0,25714.285714285714
241,41,80,2014,11,210000.0,1500.0,0,0,7199.0,26250.0
242,4,9,2017,10,77000.0,2000.0,0,1,33000.0,15400.0
243,21,106,2012,9,180000.0,2200.0,0,1,16750.0,18000.0
244,45,113,2012,10,196000.0,1600.0,0,0,9950.0,19600.0
245,4,126,2015,3,159000.0,1996.0,0,1,20500.0,22714.285714285714
246,36,101,2013,4,172000.0,1461.0,0,0,6299.0,19111.11111111111
247,50,102,2019,3,19000.0,2500.0,2,1,30000.0,6333.333333333333
248,54,130,2015,9,155000.0,1996.0,4,1,27800.0,22142.85714285714
249,28,36,2016,4,64000.0,1798.0,2,1,16000.0,10666.666666666666
250,41,101,2011,4,174000.0,1461.0,0,0,4550.0,15818.181818181818
251,50,24,2010,4,187000.0,1400.0,0,0,6500.0,15583.333333333334
252,50,24,2007,4,235000.0,1500.0,0,0,5400.0,15666.666666666666
253,4,12,2017,10,92000.0,2993.0,0,1,45000.0,18400.0
254,53,37,2014,6,180000.0,1600.0,0,0,5800.0,22500.0
255,37,46,2011,4,125000.0,1300.0,0,0,3750.0,11363.636363636364
256,20,35,2013,3,192000.0,2200.0,0,1,17500.0,21333.333333333332
257,34,101,1995,6,300000.0,2000.0,3,0,2500.0,11111.111111111111
258,53,90,2007,4,240000.0,1400.0,0,0,3750.0,16000.0
259,21,106,2015,3,161000.0,2000.0,0,1,18000.0,23000.0
260,31,10,2014,10,230000.0,2200.0,0,1,13000.0,28750.0
261,53,37,2015,5,152000.0,1600.0,0,0,10300.0,21714.285714285714
262,4,9,2006,10,312000.0,2500.0,4,1,7800.0,19500.0
263,4,9,2002,10,251000.0,2499.0,0,0,4650.0,12550.0
264,32,48,2019,10,50000.0,2200.0,0,1,37000.0,16666.666666666668
265,53,61,2009,11,180000.0,1400.0,4,0,5300.0,13846.153846153846
266,50,44,2007,11,226000.0,1400.0,0,0,5500.0,15066.666666666666
267,3,15,2004,0,200000.0,1800.0,4,1,6500.0,11111.111111111111
268,53,37,2012,6,163500.0,200.0,0,0,14200.0,16350.0
269,50,24,2013,4,133000.0,1798.0,2,1,10000.0,14777.777777777777
270,53,66,2013,10,131000.0,1400.0,2,1,8500.0,14555.555555555555
271,37,23,2006,11,368000.0,1300.0,0,0,3650.0,23000.0
272,4,6,2006,10,180000.0,300.0,4,1,6000.0,11250.0
273,45,50,2011,11,160000.0,1200.0,0,0,4999.0,14545.454545454546
274,32,48,2016,10,161024.0,2200.0,0,1,26950.0,26837.333333333332
275,20,41,2006,4,195000.0,1400.0,4,0,5400.0,12187.5
276,17,54,2015,10,124000.0,2000.0,5,1,11499.0,17714.285714285714
277,17,54,2003,4,330000.0,1400.0,0,1,4100.0,17368.42105263158
278,12,76,2005,10,21548.0,1400.0,3,0,2200.0,1267.5294117647059
279,53,61,2004,4,200000.0,1399.0,4,0,4200.0,11111.111111111111
280,32,57,2014,3,131000.0,2200.0,0,1,19900.0,16375.0
281,50,101,1998,10,268000.0,1800.0,4,0,2650.0,11166.666666666666
282,20,35,2014,3,128200.0,2200.0,0,1,17999.0,16025.0
283,54,130,2006,9,162000.0,2900.0,3,1,8490.0,10125.0
284,53,117,2012,6,211856.0,200.0,0,1,6000.0,21185.6
285,53,90,1998,4,98000.0,1000.0,4,0,900.0,4083.3333333333335
286,50,38,2015,10,73179.0,2500.0,4,1,14000.0,10454.142857142857
287,3,15,2012,10,88000.0,3000.0,4,1,14800.0,8800.0
288,21,133,2014,3,150300.0,2000.0,4,1,13200.0,18787.5
289,32,48,1996,10,460000.0,2200.0,0,0,1300.0,17692.30769230769
